_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
395760,4152887,2017,2019,1979,PRIVATE,25,Scarborough-Rouge Park,1 DEAN PARK RD,16,249,2019-11-28,83,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,4,4,4,4,,5,5,5,4,5,4,4,4,3,,E2529,43.80448258,-79.17029684,331312.86,4851442.64
400145,4152887,2017,2017,1979,PRIVATE,25,Scarborough-Rouge Park,1 DEAN PARK RD,16,249,2017-11-27,71,Evaluation needs to be conducted in 2 years,19,3,4,4,3,3,4,4,4,4,,4,4,3,3,3,3,4,3,3,4,E2529,43.80448258,-79.17029684,331312.86,4851442.64
395029,4156416,2017,2020,1975,PRIVATE,25,Scarborough-Rouge Park,109 GENERATION BLVD,3,12,2020-11-04,80,Evaluation needs to be conducted in 2 years,16,4,4,4,4,4,4,,4,,,4,3,5,4,4,4,4,4,4,,E2530,43.80408868,-79.16427592,331808.468,4851373.096
397026,4156416,2017,2018,1975,PRIVATE,25,Scarborough-Rouge Park,109 GENERATION BLVD,3,12,2019-03-20,78,Evaluation needs to be conducted in 2 years,17,4,4,4,4,3,4,,4,,,3,4,5,4,4,4,4,4,3,4,E2530,43.80408868,-79.16427592,331808.468,4851373.096
400150,4156416,2017,2017,1975,PRIVATE,25,Scarborough-Rouge Park,109 GENERATION BLVD,3,12,2017-11-27,64,Evaluation needs to be conducted in 1 year,17,3,3,4,3,3,2,,4,,,3,2,4,3,3,3,3,3,4,4,E2530,43.80408868,-79.16427592,331808.468,4851373.096
395030,4156074,2017,2020,1975,PRIVATE,25,Scarborough-Rouge Park,111 GENERATION BLVD,3,12,2020-11-04,75,Evaluation needs to be conducted in 2 years,16,3,4,4,4,3,4,,4,,,3,3,5,4,4,4,4,3,4,,E2530,43.80386196,-79.16415995,331811.235,4851362.031
397027,4156074,2017,2018,1975,PRIVATE,25,Scarborough-Rouge Park,111 GENERATION BLVD,3,12,2019-03-20,78,Evaluation needs to be conducted in 2 years,17,4,4,4,3,3,4,,5,,,4,4,5,4,4,4,4,3,3,4,E2530,43.80386196,-79.16415995,331811.235,4851362.031
400151,4156074,2017,2017,1975,PRIVATE,25,Scarborough-Rouge Park,111 GENERATION BLVD,3,12,2017-11-27,64,Evaluation needs to be conducted in 1 year,17,3,3,4,3,3,2,,4,,,3,2,4,3,3,3,3,3,4,4,E2530,43.80386196,-79.16415995,331811.235,4851362.031
395031,4156075,2017,2020,1975,PRIVATE,25,Scarborough-Rouge Park,115 GENERATION BLVD,3,12,2020-11-04,80,Evaluation needs to be conducted in 2 years,16,4,4,4,4,4,4,,4,,,4,3,5,4,4,4,4,4,4,,E2530,43.80359844,-79.16429671,331796.018,4851346.352
397028,4156075,2017,2018,1975,PRIVATE,25,Scarborough-Rouge Park,115 GENERATION BLVD,3,12,2019-03-20,78,Evaluation needs to be conducted in 2 years,17,4,4,4,3,3,4,,5,,,4,4,5,4,4,4,3,4,3,4,E2530,43.80359844,-79.16429671,331796.018,4851346.352
400152,4156075,2017,2017,1975,PRIVATE,25,Scarborough-Rouge Park,115 GENERATION BLVD,3,12,2017-11-27,65,Evaluation needs to be conducted in 1 year,17,3,3,4,3,3,2,,4,,,3,2,5,3,3,3,3,3,4,4,E2530,43.80359844,-79.16429671,331796.018,4851346.352
393717,4152893,2017,2021,1991,TCHC,25,Scarborough-Rouge Park,1315 NEILSON RD,5,126,2021-04-21,78,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,4,4,4,4,,3,4,5,4,3,4,,4,4,4,E2524,43.80778696,-79.21881218,327408.037,4851795.432
398955,4152893,2017,2017,1991,TCHC,25,Scarborough-Rouge Park,1315 NEILSON RD,5,126,2018-01-10,83,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,4,3,4,4,,4,5,5,4,5,5,,4,3,5,E2524,43.80778696,-79.21881218,327408.037,4851795.432
